{'SiO2': 87, 'TiO2': 91, 'Al2O3': 71, 'FeO': 17, 'MnO': 18, 'MgO': 72, 'CaO': 69, 'Na2O': 1, 'K2O': 100, 'F': 97, 'Cl': 80, 'Bjergart': 'Dunit'}
{'SiO2': 25, 'TiO2': 99, 'Al2O3': 18, 'FeO': 47, 'MnO': 61, 'MgO': 64, 'CaO': 92, 'Na2O': 66, 'K2O': 46, 'F': 46, 'Cl': 49, 'Bjergart': 'Basalt'}
{'SiO2': 80, 'TiO2': 96, 'Al2O3': 2, 'FeO': 51, 'MnO': 21, 'MgO': 50, 'CaO': 78, 'Na2O': 94, 'K2O': 16, 'F': 51, 'Cl': 49, 'Bjergart': 'Amfibolit'}
{'SiO2': 23, 'TiO2': 72, 'Al2O3': 4, 'FeO': 17, 'MnO': 5, 'MgO': 42, 'CaO': 53, 'Na2O': 61, 'K2O': 21, 'F': 28, 'Cl': 69, 'Bjergart': 'Granit'}
{'SiO2': 20, 'TiO2': 12, 'Al2O3': 15, 'FeO': 47, 'MnO': 58, 'MgO': 32, 'CaO': 20, 'Na2O': 52, 'K2O': 61, 'F': 71, 'Cl': 31, 'Bjergart': 'Amfibolit'}
{'SiO2': 42, 'TiO2': 11, 'Al2O3': 61, 'FeO': 66, 'MnO': 17, 'MgO': 19, 'CaO': 30, 'Na2O': 49, 'K2O': 48, 'F': 35, 'Cl': 75, 'Bjergart': 'Dunit'}
{'SiO2': 82, 'TiO2': 30, 'Al2O3': 27, 'FeO': 38, 'MnO': 25, 'MgO': 15, 'CaO': 54, 'Na2O': 98, 'K2O': 3, 'F': 44, 'Cl': 34, 'Bjergart': 'Amfibolit'}
{'SiO2': 37, 'TiO2': 80, 'Al2O3': 38, 'FeO': 0, 'MnO': 27, 'MgO': 88, 'CaO': 35, 'Na2O': 83, 'K2O': 43, 'F': 3, 'Cl': 25, 'Bjergart': 'Granit'}
{'SiO2': 21, 'TiO2': 2, 'Al2O3': 24, 'FeO': 25, 'MnO': 0, 'MgO': 35, 'CaO': 99, 'Na2O': 87, 'K2O': 71, 'F': 85, 'Cl': 89, 'Bjergart': 'Granulit'}
{'SiO2': 24, 'TiO2': 14, 'Al2O3': 8, 'FeO': 59, 'MnO': 17, 'MgO': 47, 'CaO': 88, 'Na2O': 44, 'K2O': 1, 'F': 22, 'Cl': 48, 'Bjergart': 'Harzburgite'}
{'SiO2': 56, 'TiO2': 4, 'Al2O3': 82, 'FeO': 55, 'MnO': 50, 'MgO': 8, 'CaO': 99, 'Na2O': 97, 'K2O': 61, 'F': 5, 'Cl': 51, 'Bjergart': 'Granulit'}
{'SiO2': 46, 'TiO2': 39, 'Al2O3': 81, 'FeO': 80, 'MnO': 68, 'MgO': 92, 'CaO': 10, 'Na2O': 79, 'K2O': 68, 'F': 99, 'Cl': 6, 'Bjergart': 'Dunit'}
{'SiO2': 11, 'TiO2': 48, 'Al2O3': 14, 'FeO': 62, 'MnO': 70, 'MgO': 47, 'CaO': 44, 'Na2O': 100, 'K2O': 92, 'F': 48, 'Cl': 39, 'Bjergart': 'Granulit'}
{'SiO2': 68, 'TiO2': 33, 'Al2O3': 14, 'FeO': 20, 'MnO': 60, 'MgO': 6, 'CaO': 59, 'Na2O': 49, 'K2O': 19, 'F': 12, 'Cl': 8, 'Bjergart': 'Basalt'}
{'SiO2': 31, 'TiO2': 53, 'Al2O3': 93, 'FeO': 81, 'MnO': 78, 'MgO': 4, 'CaO': 40, 'Na2O': 61, 'K2O': 77, 'F': 59, 'Cl': 72, 'Bjergart': 'Amfibolit'}
{'SiO2': 4, 'TiO2': 0, 'Al2O3': 86, 'FeO': 58, 'MnO': 69, 'MgO': 70, 'CaO': 65, 'Na2O': 12, 'K2O': 29, 'F': 64, 'Cl': 36, 'Bjergart': 'Granulit'}
{'SiO2': 5, 'TiO2': 88, 'Al2O3': 30, 'FeO': 60, 'MnO': 11, 'MgO': 74, 'CaO': 80, 'Na2O': 97, 'K2O': 57, 'F': 82, 'Cl': 86, 'Bjergart': 'Granit'}
{'SiO2': 85, 'TiO2': 7, 'Al2O3': 17, 'FeO': 47, 'MnO': 54, 'MgO': 98, 'CaO': 46, 'Na2O': 78, 'K2O': 45, 'F': 21, 'Cl': 22, 'Bjergart': 'Harzburgite'}
{'SiO2': 84, 'TiO2': 28, 'Al2O3': 86, 'FeO': 13, 'MnO': 31, 'MgO': 38, 'CaO': 22, 'Na2O': 98, 'K2O': 10, 'F': 19, 'Cl': 98, 'Bjergart': 'Basalt'}
{'SiO2': 96, 'TiO2': 93, 'Al2O3': 14, 'FeO': 65, 'MnO': 92, 'MgO': 3, 'CaO': 63, 'Na2O': 68, 'K2O': 45, 'F': 33, 'Cl': 57, 'Bjergart': 'Granulit'}
{'SiO2': 55, 'TiO2': 65, 'Al2O3': 46, 'FeO': 33, 'MnO': 42, 'MgO': 31, 'CaO': 87, 'Na2O': 35, 'K2O': 9, 'F': 0, 'Cl': 50, 'Bjergart': 'Dunit'}
{'SiO2': 87, 'TiO2': 39, 'Al2O3': 0, 'FeO': 27, 'MnO': 49, 'MgO': 81, 'CaO': 4, 'Na2O': 34, 'K2O': 18, 'F': 42, 'Cl': 3, 'Bjergart': 'Granit'}
{'SiO2': 31, 'TiO2': 67, 'Al2O3': 10, 'FeO': 1, 'MnO': 17, 'MgO': 78, 'CaO': 17, 'Na2O': 83, 'K2O': 36, 'F': 87, 'Cl': 1, 'Bjergart': 'Gnejs'}
{'SiO2': 34, 'TiO2': 49, 'Al2O3': 67, 'FeO': 90, 'MnO': 10, 'MgO': 39, 'CaO': 76, 'Na2O': 67, 'K2O': 62, 'F': 89, 'Cl': 10, 'Bjergart': 'Gnejs'}
{'SiO2': 14, 'TiO2': 56, 'Al2O3': 100, 'FeO': 88, 'MnO': 63, 'MgO': 11, 'CaO': 68, 'Na2O': 80, 'K2O': 15, 'F': 9, 'Cl': 76, 'Bjergart': 'Gnejs'}
{'SiO2': 28, 'TiO2': 92, 'Al2O3': 19, 'FeO': 58, 'MnO': 43, 'MgO': 51, 'CaO': 29, 'Na2O': 74, 'K2O': 99, 'F': 81, 'Cl': 18, 'Bjergart': 'Dunit'}
{'SiO2': 88, 'TiO2': 47, 'Al2O3': 12, 'FeO': 92, 'MnO': 92, 'MgO': 39, 'CaO': 32, 'Na2O': 91, 'K2O': 65, 'F': 66, 'Cl': 15, 'Bjergart': 'Granit'}
{'SiO2': 72, 'TiO2': 93, 'Al2O3': 25, 'FeO': 5, 'MnO': 68, 'MgO': 61, 'CaO': 97, 'Na2O': 97, 'K2O': 21, 'F': 4, 'Cl': 65, 'Bjergart': 'Granit'}
{'SiO2': 84, 'TiO2': 96, 'Al2O3': 11, 'FeO': 4, 'MnO': 94, 'MgO': 54, 'CaO': 76, 'Na2O': 97, 'K2O': 16, 'F': 97, 'Cl': 40, 'Bjergart': 'Harzburgite'}
{'SiO2': 46, 'TiO2': 47, 'Al2O3': 11, 'FeO': 63, 'MnO': 50, 'MgO': 71, 'CaO': 96, 'Na2O': 8, 'K2O': 63, 'F': 37, 'Cl': 91, 'Bjergart': 'Harzburgite'}
{'SiO2': 66, 'TiO2': 94, 'Al2O3': 65, 'FeO': 59, 'MnO': 65, 'MgO': 64, 'CaO': 100, 'Na2O': 28, 'K2O': 10, 'F': 36, 'Cl': 70, 'Bjergart': 'Amfibolit'}
{'SiO2': 48, 'TiO2': 5, 'Al2O3': 97, 'FeO': 3, 'MnO': 65, 'MgO': 73, 'CaO': 13, 'Na2O': 11, 'K2O': 22, 'F': 6, 'Cl': 44, 'Bjergart': 'Amfibolit'}
{'SiO2': 74, 'TiO2': 55, 'Al2O3': 27, 'FeO': 23, 'MnO': 31, 'MgO': 28, 'CaO': 57, 'Na2O': 25, 'K2O': 46, 'F': 15, 'Cl': 70, 'Bjergart': 'Gnejs'}
{'SiO2': 36, 'TiO2': 18, 'Al2O3': 6, 'FeO': 46, 'MnO': 89, 'MgO': 13, 'CaO': 30, 'Na2O': 27, 'K2O': 14, 'F': 77, 'Cl': 34, 'Bjergart': 'Harzburgite'}
{'SiO2': 54, 'TiO2': 59, 'Al2O3': 30, 'FeO': 75, 'MnO': 43, 'MgO': 79, 'CaO': 21, 'Na2O': 89, 'K2O': 4, 'F': 25, 'Cl': 15, 'Bjergart': 'Amfibolit'}
{'SiO2': 78, 'TiO2': 36, 'Al2O3': 23, 'FeO': 21, 'MnO': 13, 'MgO': 57, 'CaO': 21, 'Na2O': 64, 'K2O': 44, 'F': 92, 'Cl': 96, 'Bjergart': 'Amfibolit'}
{'SiO2': 83, 'TiO2': 92, 'Al2O3': 6, 'FeO': 19, 'MnO': 35, 'MgO': 87, 'CaO': 48, 'Na2O': 94, 'K2O': 7, 'F': 58, 'Cl': 10, 'Bjergart': 'Basalt'}
{'SiO2': 24, 'TiO2': 7, 'Al2O3': 97, 'FeO': 69, 'MnO': 72, 'MgO': 49, 'CaO': 85, 'Na2O': 94, 'K2O': 54, 'F': 69, 'Cl': 69, 'Bjergart': 'Dunit'}
{'SiO2': 12, 'TiO2': 89, 'Al2O3': 55, 'FeO': 13, 'MnO': 28, 'MgO': 85, 'CaO': 66, 'Na2O': 64, 'K2O': 1, 'F': 18, 'Cl': 69, 'Bjergart': 'Gnejs'}
{'SiO2': 100, 'TiO2': 24, 'Al2O3': 15, 'FeO': 38, 'MnO': 68, 'MgO': 61, 'CaO': 31, 'Na2O': 81, 'K2O': 62, 'F': 6, 'Cl': 16, 'Bjergart': 'Basalt'}
{'SiO2': 48, 'TiO2': 18, 'Al2O3': 70, 'FeO': 0, 'MnO': 56, 'MgO': 57, 'CaO': 71, 'Na2O': 4, 'K2O': 14, 'F': 95, 'Cl': 92, 'Bjergart': 'Dunit'}
{'SiO2': 11, 'TiO2': 29, 'Al2O3': 21, 'FeO': 20, 'MnO': 27, 'MgO': 14, 'CaO': 95, 'Na2O': 13, 'K2O': 28, 'F': 78, 'Cl': 14, 'Bjergart': 'Gnejs'}
{'SiO2': 65, 'TiO2': 4, 'Al2O3': 66, 'FeO': 53, 'MnO': 11, 'MgO': 83, 'CaO': 42, 'Na2O': 80, 'K2O': 47, 'F': 93, 'Cl': 69, 'Bjergart': 'Dunit'}
{'SiO2': 87, 'TiO2': 27, 'Al2O3': 94, 'FeO': 90, 'MnO': 88, 'MgO': 77, 'CaO': 46, 'Na2O': 36, 'K2O': 46, 'F': 86, 'Cl': 19, 'Bjergart': 'Gnejs'}
{'SiO2': 13, 'TiO2': 56, 'Al2O3': 65, 'FeO': 16, 'MnO': 4, 'MgO': 20, 'CaO': 13, 'Na2O': 38, 'K2O': 92, 'F': 78, 'Cl': 26, 'Bjergart': 'Harzburgite'}
{'SiO2': 40, 'TiO2': 21, 'Al2O3': 80, 'FeO': 59, 'MnO': 1, 'MgO': 66, 'CaO': 38, 'Na2O': 99, 'K2O': 50, 'F': 92, 'Cl': 47, 'Bjergart': 'Granulit'}
{'SiO2': 90, 'TiO2': 29, 'Al2O3': 42, 'FeO': 4, 'MnO': 48, 'MgO': 57, 'CaO': 4, 'Na2O': 28, 'K2O': 70, 'F': 46, 'Cl': 48, 'Bjergart': 'Dunit'}
{'SiO2': 39, 'TiO2': 1, 'Al2O3': 7, 'FeO': 14, 'MnO': 40, 'MgO': 59, 'CaO': 78, 'Na2O': 31, 'K2O': 87, 'F': 85, 'Cl': 98, 'Bjergart': 'Granit'}
{'SiO2': 76, 'TiO2': 44, 'Al2O3': 90, 'FeO': 16, 'MnO': 81, 'MgO': 40, 'CaO': 68, 'Na2O': 62, 'K2O': 31, 'F': 82, 'Cl': 61, 'Bjergart': 'Harzburgite'}
{'SiO2': 40, 'TiO2': 10, 'Al2O3': 79, 'FeO': 84, 'MnO': 24, 'MgO': 79, 'CaO': 18, 'Na2O': 72, 'K2O': 71, 'F': 27, 'Cl': 29, 'Bjergart': 'Granulit'}
{'SiO2': 57, 'TiO2': 24, 'Al2O3': 20, 'FeO': 97, 'MnO': 20, 'MgO': 31, 'CaO': 20, 'Na2O': 88, 'K2O': 55, 'F': 48, 'Cl': 87, 'Bjergart': 'Harzburgite'}
{'SiO2': 0, 'TiO2': 91, 'Al2O3': 50, 'FeO': 93, 'MnO': 60, 'MgO': 23, 'CaO': 54, 'Na2O': 23, 'K2O': 85, 'F': 57, 'Cl': 2, 'Bjergart': 'Amfibolit'}
{'SiO2': 97, 'TiO2': 88, 'Al2O3': 34, 'FeO': 13, 'MnO': 6, 'MgO': 85, 'CaO': 67, 'Na2O': 96, 'K2O': 72, 'F': 54, 'Cl': 10, 'Bjergart': 'Granit'}
{'SiO2': 52, 'TiO2': 44, 'Al2O3': 17, 'FeO': 62, 'MnO': 35, 'MgO': 24, 'CaO': 58, 'Na2O': 50, 'K2O': 75, 'F': 54, 'Cl': 10, 'Bjergart': 'Granulit'}
{'SiO2': 82, 'TiO2': 49, 'Al2O3': 3, 'FeO': 91, 'MnO': 48, 'MgO': 17, 'CaO': 99, 'Na2O': 18, 'K2O': 59, 'F': 69, 'Cl': 43, 'Bjergart': 'Gnejs'}
{'SiO2': 14, 'TiO2': 63, 'Al2O3': 85, 'FeO': 91, 'MnO': 89, 'MgO': 47, 'CaO': 27, 'Na2O': 52, 'K2O': 95, 'F': 41, 'Cl': 45, 'Bjergart': 'Granulit'}
{'SiO2': 11, 'TiO2': 35, 'Al2O3': 45, 'FeO': 78, 'MnO': 72, 'MgO': 53, 'CaO': 25, 'Na2O': 9, 'K2O': 78, 'F': 84, 'Cl': 9, 'Bjergart': 'Granit'}
{'SiO2': 5, 'TiO2': 44, 'Al2O3': 93, 'FeO': 74, 'MnO': 44, 'MgO': 14, 'CaO': 1, 'Na2O': 81, 'K2O': 24, 'F': 54, 'Cl': 9, 'Bjergart': 'Gnejs'}
{'SiO2': 72, 'TiO2': 12, 'Al2O3': 85, 'FeO': 90, 'MnO': 3, 'MgO': 84, 'CaO': 58, 'Na2O': 72, 'K2O': 95, 'F': 53, 'Cl': 65, 'Bjergart': 'Granit'}
{'SiO2': 64, 'TiO2': 90, 'Al2O3': 20, 'FeO': 21, 'MnO': 17, 'MgO': 80, 'CaO': 7, 'Na2O': 62, 'K2O': 31, 'F': 5, 'Cl': 8, 'Bjergart': 'Gnejs'}
{'SiO2': 7, 'TiO2': 18, 'Al2O3': 47, 'FeO': 17, 'MnO': 84, 'MgO': 63, 'CaO': 92, 'Na2O': 70, 'K2O': 74, 'F': 52, 'Cl': 45, 'Bjergart': 'Granit'}
{'SiO2': 76, 'TiO2': 4, 'Al2O3': 28, 'FeO': 22, 'MnO': 6, 'MgO': 62, 'CaO': 88, 'Na2O': 72, 'K2O': 15, 'F': 31, 'Cl': 18, 'Bjergart': 'Amfibolit'}
{'SiO2': 15, 'TiO2': 8, 'Al2O3': 75, 'FeO': 70, 'MnO': 37, 'MgO': 45, 'CaO': 94, 'Na2O': 100, 'K2O': 60, 'F': 9, 'Cl': 33, 'Bjergart': 'Granit'}
{'SiO2': 37, 'TiO2': 28, 'Al2O3': 19, 'FeO': 48, 'MnO': 98, 'MgO': 94, 'CaO': 30, 'Na2O': 64, 'K2O': 12, 'F': 85, 'Cl': 9, 'Bjergart': 'Dunit'}
{'SiO2': 97, 'TiO2': 31, 'Al2O3': 96, 'FeO': 53, 'MnO': 3, 'MgO': 0, 'CaO': 95, 'Na2O': 18, 'K2O': 3, 'F': 7, 'Cl': 92, 'Bjergart': 'Dunit'}
{'SiO2': 82, 'TiO2': 4, 'Al2O3': 66, 'FeO': 28, 'MnO': 89, 'MgO': 12, 'CaO': 23, 'Na2O': 41, 'K2O': 95, 'F': 100, 'Cl': 20, 'Bjergart': 'Granulit'}
{'SiO2': 14, 'TiO2': 100, 'Al2O3': 51, 'FeO': 63, 'MnO': 18, 'MgO': 22, 'CaO': 89, 'Na2O': 24, 'K2O': 68, 'F': 6, 'Cl': 67, 'Bjergart': 'Harzburgite'}
{'SiO2': 65, 'TiO2': 67, 'Al2O3': 57, 'FeO': 57, 'MnO': 86, 'MgO': 86, 'CaO': 97, 'Na2O': 63, 'K2O': 10, 'F': 48, 'Cl': 48, 'Bjergart': 'Harzburgite'}
{'SiO2': 59, 'TiO2': 52, 'Al2O3': 52, 'FeO': 8, 'MnO': 58, 'MgO': 30, 'CaO': 27, 'Na2O': 26, 'K2O': 79, 'F': 41, 'Cl': 45, 'Bjergart': 'Granit'}
{'SiO2': 53, 'TiO2': 51, 'Al2O3': 40, 'FeO': 45, 'MnO': 90, 'MgO': 21, 'CaO': 42, 'Na2O': 8, 'K2O': 79, 'F': 100, 'Cl': 67, 'Bjergart': 'Granulit'}
{'SiO2': 78, 'TiO2': 13, 'Al2O3': 36, 'FeO': 77, 'MnO': 25, 'MgO': 96, 'CaO': 86, 'Na2O': 11, 'K2O': 75, 'F': 76, 'Cl': 74, 'Bjergart': 'Amfibolit'}
{'SiO2': 20, 'TiO2': 15, 'Al2O3': 92, 'FeO': 20, 'MnO': 81, 'MgO': 1, 'CaO': 85, 'Na2O': 97, 'K2O': 45, 'F': 99, 'Cl': 65, 'Bjergart': 'Granit'}
{'SiO2': 90, 'TiO2': 88, 'Al2O3': 42, 'FeO': 22, 'MnO': 75, 'MgO': 0, 'CaO': 11, 'Na2O': 37, 'K2O': 50, 'F': 28, 'Cl': 49, 'Bjergart': 'Gnejs'}
{'SiO2': 75, 'TiO2': 4, 'Al2O3': 69, 'FeO': 3, 'MnO': 14, 'MgO': 16, 'CaO': 20, 'Na2O': 29, 'K2O': 50, 'F': 43, 'Cl': 14, 'Bjergart': 'Granulit'}
{'SiO2': 37, 'TiO2': 38, 'Al2O3': 93, 'FeO': 71, 'MnO': 21, 'MgO': 92, 'CaO': 74, 'Na2O': 4, 'K2O': 15, 'F': 23, 'Cl': 96, 'Bjergart': 'Amfibolit'}
{'SiO2': 16, 'TiO2': 40, 'Al2O3': 82, 'FeO': 22, 'MnO': 19, 'MgO': 80, 'CaO': 5, 'Na2O': 25, 'K2O': 70, 'F': 72, 'Cl': 91, 'Bjergart': 'Gnejs'}
{'SiO2': 82, 'TiO2': 2, 'Al2O3': 73, 'FeO': 2, 'MnO': 50, 'MgO': 73, 'CaO': 8, 'Na2O': 33, 'K2O': 37, 'F': 71, 'Cl': 52, 'Bjergart': 'Granulit'}
{'SiO2': 75, 'TiO2': 1, 'Al2O3': 6, 'FeO': 14, 'MnO': 94, 'MgO': 61, 'CaO': 63, 'Na2O': 35, 'K2O': 61, 'F': 14, 'Cl': 77, 'Bjergart': 'Granulit'}
{'SiO2': 28, 'TiO2': 49, 'Al2O3': 63, 'FeO': 36, 'MnO': 80, 'MgO': 75, 'CaO': 64, 'Na2O': 13, 'K2O': 31, 'F': 0, 'Cl': 35, 'Bjergart': 'Harzburgite'}
{'SiO2': 45, 'TiO2': 65, 'Al2O3': 95, 'FeO': 73, 'MnO': 17, 'MgO': 1, 'CaO': 26, 'Na2O': 61, 'K2O': 83, 'F': 34, 'Cl': 47, 'Bjergart': 'Amfibolit'}
{'SiO2': 96, 'TiO2': 22, 'Al2O3': 68, 'FeO': 92, 'MnO': 19, 'MgO': 71, 'CaO': 82, 'Na2O': 98, 'K2O': 65, 'F': 51, 'Cl': 4, 'Bjergart': 'Amfibolit'}
{'SiO2': 82, 'TiO2': 71, 'Al2O3': 60, 'FeO': 71, 'MnO': 84, 'MgO': 2, 'CaO': 57, 'Na2O': 69, 'K2O': 66, 'F': 60, 'Cl': 11, 'Bjergart': 'Granit'}
{'SiO2': 39, 'TiO2': 50, 'Al2O3': 40, 'FeO': 66, 'MnO': 34, 'MgO': 10, 'CaO': 54, 'Na2O': 46, 'K2O': 47, 'F': 6, 'Cl': 6, 'Bjergart': 'Harzburgite'}
{'SiO2': 61, 'TiO2': 63, 'Al2O3': 65, 'FeO': 95, 'MnO': 72, 'MgO': 55, 'CaO': 73, 'Na2O': 38, 'K2O': 93, 'F': 37, 'Cl': 78, 'Bjergart': 'Granulit'}
{'SiO2': 97, 'TiO2': 47, 'Al2O3': 80, 'FeO': 37, 'MnO': 99, 'MgO': 97, 'CaO': 8, 'Na2O': 70, 'K2O': 89, 'F': 50, 'Cl': 69, 'Bjergart': 'Gnejs'}
{'SiO2': 60, 'TiO2': 100, 'Al2O3': 48, 'FeO': 53, 'MnO': 89, 'MgO': 29, 'CaO': 24, 'Na2O': 18, 'K2O': 98, 'F': 41, 'Cl': 15, 'Bjergart': 'Amfibolit'}
{'SiO2': 7, 'TiO2': 47, 'Al2O3': 39, 'FeO': 100, 'MnO': 36, 'MgO': 29, 'CaO': 9, 'Na2O': 39, 'K2O': 62, 'F': 100, 'Cl': 3, 'Bjergart': 'Granulit'}
{'SiO2': 15, 'TiO2': 79, 'Al2O3': 23, 'FeO': 27, 'MnO': 91, 'MgO': 100, 'CaO': 68, 'Na2O': 51, 'K2O': 12, 'F': 92, 'Cl': 82, 'Bjergart': 'Granit'}
{'SiO2': 78, 'TiO2': 69, 'Al2O3': 81, 'FeO': 100, 'MnO': 54, 'MgO': 86, 'CaO': 61, 'Na2O': 89, 'K2O': 99, 'F': 57, 'Cl': 80, 'Bjergart': 'Granulit'}
{'SiO2': 91, 'TiO2': 57, 'Al2O3': 86, 'FeO': 41, 'MnO': 21, 'MgO': 41, 'CaO': 36, 'Na2O': 40, 'K2O': 98, 'F': 9, 'Cl': 47, 'Bjergart': 'Basalt'}
{'SiO2': 64, 'TiO2': 63, 'Al2O3': 32, 'FeO': 43, 'MnO': 76, 'MgO': 93, 'CaO': 43, 'Na2O': 72, 'K2O': 77, 'F': 93, 'Cl': 4, 'Bjergart': 'Basalt'}
{'SiO2': 90, 'TiO2': 10, 'Al2O3': 27, 'FeO': 23, 'MnO': 94, 'MgO': 13, 'CaO': 41, 'Na2O': 22, 'K2O': 97, 'F': 92, 'Cl': 70, 'Bjergart': 'Gnejs'}
{'SiO2': 33, 'TiO2': 19, 'Al2O3': 64, 'FeO': 36, 'MnO': 54, 'MgO': 96, 'CaO': 100, 'Na2O': 87, 'K2O': 30, 'F': 21, 'Cl': 84, 'Bjergart': 'Gnejs'}
{'SiO2': 9, 'TiO2': 16, 'Al2O3': 30, 'FeO': 29, 'MnO': 20, 'MgO': 77, 'CaO': 96, 'Na2O': 49, 'K2O': 63, 'F': 77, 'Cl': 26, 'Bjergart': 'Granit'}
{'SiO2': 27, 'TiO2': 84, 'Al2O3': 7, 'FeO': 10, 'MnO': 11, 'MgO': 8, 'CaO': 57, 'Na2O': 73, 'K2O': 54, 'F': 39, 'Cl': 56, 'Bjergart': 'Basalt'}
{'SiO2': 64, 'TiO2': 100, 'Al2O3': 90, 'FeO': 56, 'MnO': 84, 'MgO': 95, 'CaO': 78, 'Na2O': 39, 'K2O': 76, 'F': 58, 'Cl': 96, 'Bjergart': 'Granulit'}
{'SiO2': 54, 'TiO2': 40, 'Al2O3': 58, 'FeO': 21, 'MnO': 54, 'MgO': 68, 'CaO': 14, 'Na2O': 70, 'K2O': 87, 'F': 21, 'Cl': 97, 'Bjergart': 'Amfibolit'}
{'SiO2': 74, 'TiO2': 100, 'Al2O3': 25, 'FeO': 92, 'MnO': 99, 'MgO': 52, 'CaO': 65, 'Na2O': 74, 'K2O': 3, 'F': 83, 'Cl': 10, 'Bjergart': 'Gnejs'}
{'SiO2': 42, 'TiO2': 55, 'Al2O3': 53, 'FeO': 2, 'MnO': 72, 'MgO': 98, 'CaO': 97, 'Na2O': 91, 'K2O': 19, 'F': 17, 'Cl': 20, 'Bjergart': 'Gnejs'}
{'SiO2': 98, 'TiO2': 87, 'Al2O3': 78, 'FeO': 8, 'MnO': 4, 'MgO': 39, 'CaO': 61, 'Na2O': 69, 'K2O': 59, 'F': 61, 'Cl': 82, 'Bjergart': 'Gnejs'}
{'SiO2': 95, 'TiO2': 48, 'Al2O3': 42, 'FeO': 47, 'MnO': 0, 'MgO': 85, 'CaO': 45, 'Na2O': 84, 'K2O': 72, 'F': 10, 'Cl': 77, 'Bjergart': 'Granit'}
{'SiO2': 27, 'TiO2': 77, 'Al2O3': 97, 'FeO': 27, 'MnO': 70, 'MgO': 64, 'CaO': 25, 'Na2O': 22, 'K2O': 70, 'F': 30, 'Cl': 38, 'Bjergart': 'Harzburgite'}
{'SiO2': 10, 'TiO2': 70, 'Al2O3': 55, 'FeO': 73, 'MnO': 60, 'MgO': 86, 'CaO': 50, 'Na2O': 21, 'K2O': 0, 'F': 77, 'Cl': 5, 'Bjergart': 'Gnejs'}
{'SiO2': 50, 'TiO2': 39, 'Al2O3': 54, 'FeO': 98, 'MnO': 17, 'MgO': 99, 'CaO': 89, 'Na2O': 72, 'K2O': 49, 'F': 53, 'Cl': 36, 'Bjergart': 'Dunit'}
{'SiO2': 4, 'TiO2': 37, 'Al2O3': 24, 'FeO': 74, 'MnO': 63, 'MgO': 15, 'CaO': 23, 'Na2O': 48, 'K2O': 57, 'F': 3, 'Cl': 86, 'Bjergart': 'Gnejs'}
{'SiO2': 68, 'TiO2': 49, 'Al2O3': 76, 'FeO': 35, 'MnO': 12, 'MgO': 49, 'CaO': 84, 'Na2O': 41, 'K2O': 73, 'F': 46, 'Cl': 39, 'Bjergart': 'Harzburgite'}
{'SiO2': 31, 'TiO2': 36, 'Al2O3': 79, 'FeO': 64, 'MnO': 80, 'MgO': 79, 'CaO': 93, 'Na2O': 98, 'K2O': 64, 'F': 86, 'Cl': 43, 'Bjergart': 'Basalt'}
{'SiO2': 33, 'TiO2': 67, 'Al2O3': 68, 'FeO': 89, 'MnO': 40, 'MgO': 15, 'CaO': 100, 'Na2O': 85, 'K2O': 40, 'F': 92, 'Cl': 26, 'Bjergart': 'Granit'}
{'SiO2': 30, 'TiO2': 67, 'Al2O3': 39, 'FeO': 92, 'MnO': 82, 'MgO': 100, 'CaO': 41, 'Na2O': 1, 'K2O': 92, 'F': 97, 'Cl': 24, 'Bjergart': 'Granulit'}
{'SiO2': 36, 'TiO2': 54, 'Al2O3': 47, 'FeO': 38, 'MnO': 43, 'MgO': 5, 'CaO': 70, 'Na2O': 87, 'K2O': 24, 'F': 54, 'Cl': 12, 'Bjergart': 'Basalt'}
{'SiO2': 43, 'TiO2': 30, 'Al2O3': 22, 'FeO': 8, 'MnO': 5, 'MgO': 63, 'CaO': 54, 'Na2O': 6, 'K2O': 80, 'F': 19, 'Cl': 91, 'Bjergart': 'Basalt'}
{'SiO2': 1, 'TiO2': 76, 'Al2O3': 9, 'FeO': 73, 'MnO': 38, 'MgO': 63, 'CaO': 75, 'Na2O': 23, 'K2O': 91, 'F': 97, 'Cl': 40, 'Bjergart': 'Harzburgite'}
{'SiO2': 81, 'TiO2': 68, 'Al2O3': 91, 'FeO': 70, 'MnO': 15, 'MgO': 93, 'CaO': 81, 'Na2O': 53, 'K2O': 14, 'F': 66, 'Cl': 11, 'Bjergart': 'Basalt'}
{'SiO2': 14, 'TiO2': 46, 'Al2O3': 44, 'FeO': 40, 'MnO': 48, 'MgO': 53, 'CaO': 77, 'Na2O': 60, 'K2O': 32, 'F': 18, 'Cl': 43, 'Bjergart': 'Basalt'}
{'SiO2': 36, 'TiO2': 27, 'Al2O3': 74, 'FeO': 40, 'MnO': 0, 'MgO': 24, 'CaO': 0, 'Na2O': 68, 'K2O': 9, 'F': 90, 'Cl': 8, 'Bjergart': 'Harzburgite'}
{'SiO2': 17, 'TiO2': 14, 'Al2O3': 81, 'FeO': 10, 'MnO': 86, 'MgO': 4, 'CaO': 86, 'Na2O': 91, 'K2O': 88, 'F': 52, 'Cl': 42, 'Bjergart': 'Harzburgite'}
{'SiO2': 48, 'TiO2': 19, 'Al2O3': 81, 'FeO': 61, 'MnO': 28, 'MgO': 46, 'CaO': 14, 'Na2O': 73, 'K2O': 52, 'F': 6, 'Cl': 33, 'Bjergart': 'Basalt'}
